brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
Dr. Zenovia Skincare,Value & Gift Sets,297,0.7157,4.508,92.3,7.41,0.8886
Shiseido,Sunscreen,9118,0.7827,4.466,89.9,4.23,0.8884
Farmacy,Treatments,2193,0.8103,4.453,88.8,4.42,0.8879
Fenty Skin,Treatments,383,0.7106,4.512,92.2,6.01,0.8875
Skinfix,Cleansers,1497,0.7324,4.57,90.2,5.88,0.8873
Peace Out,Cleansers,245,0.709,4.559,91.4,8.57,0.8872
WASO,Cleansers,506,0.7731,4.425,90.5,2.96,0.8864
Dr. Dennis Gross Skincare,Moisturizers,733,0.7568,4.577,88.8,5.05,0.8863
WASO,Eye Care,368,0.7394,4.432,91.6,2.99,0.8852
BeautyBio,Value & Gift Sets,221,0.7392,4.525,90.0,7.69,0.8848
GUERLAIN,Mini Size,1235,0.8417,4.343,88.3,2.51,0.8843
LANEIGE,Masks,1450,0.7236,4.548,90.1,5.59,0.8839
Josie Maran,Eye Care,642,0.7713,4.478,89.1,5.92,0.8837
GUERLAIN,Moisturizers,1252,0.8409,4.341,88.1,2.48,0.8834
WASO,Moisturizers,1030,0.7568,4.428,90.4,3.59,0.8833
Sulwhasoo,Cleansers,684,0.7465,4.497,89.5,5.85,0.8821
HABIT,Sunscreen,457,0.7777,4.519,87.7,5.25,0.882
OLEHENRIKSEN,Moisturizers,6531,0.7793,4.424,88.8,4.39,0.8805
belif,Cleansers,3063,0.7647,4.389,89.8,4.51,0.8799
Dr. Zenovia Skincare,Treatments,1178,0.685,4.445,92.4,5.35,0.8799
Moon Juice,Mini Size,499,0.6475,4.579,91.8,11.02,0.8791
Summer Fridays,Moisturizers,1614,0.7687,4.479,87.9,4.21,0.8786
Paula's Choice,Eye Care,384,0.7408,4.458,89.3,6.77,0.8781
RANAVAT,Moisturizers,293,0.7268,4.444,90.1,3.41,0.8778
Murad,Sunscreen,820,0.7401,4.557,87.7,5.49,0.8776
Tatcha,Treatments,4708,0.7807,4.423,88.0,4.12,0.8774
Glow Recipe,Treatments,8615,0.7602,4.464,88.2,5.25,0.8772
belif,Eye Care,2964,0.7111,4.466,90.2,5.63,0.877
Dr. Jart+,Sunscreen,809,0.7455,4.426,89.2,6.06,0.8766
goop,Cleansers,2582,0.7705,4.405,88.5,4.14,0.8766
