brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
tarte,Mini Size,271,0.5589,3.827,71.6,11.81,0.7358
Sunday Riley,Cleansers,1226,0.7156,3.941,62.7,7.34,0.735
Biossance,Lip Balms & Treatments,278,0.5886,3.871,69.1,13.31,0.7337
Herbivore,Masks,1939,0.632,4.24,61.3,11.24,0.7332
Kate Somerville,Moisturizers,3632,0.6842,4.264,58.4,7.13,0.7323
tarte,Treatments,439,0.5848,3.8,69.9,10.93,0.732
Algenist,Lip Balms & Treatments,644,0.5013,3.876,71.4,15.84,0.7282
ILIA,Sunscreen,635,0.6602,3.657,67.6,10.87,0.7268
Peter Thomas Roth,Treatments,10894,0.6288,4.33,58.3,10.02,0.7264
NuFACE,High Tech Tools,457,0.5803,3.836,68.1,14.44,0.726
Sunday Riley,Moisturizers,10567,0.6489,4.146,60.1,10.53,0.7255
MILK MAKEUP,Treatments,299,0.6265,3.726,67.6,11.04,0.7252
Josie Maran,Treatments,2379,0.6953,4.251,56.0,7.06,0.724
tarte,High Tech Tools,479,0.5682,4.182,62.6,11.9,0.7238
Biossance,Sunscreen,653,0.5471,3.867,68.5,14.7,0.7237
Shiseido,Cleansers,3254,0.5956,4.754,52.4,7.9,0.7233
Community Sixty-Six,Cleansers,375,0.6297,3.637,68.3,9.87,0.7231
Tata Harper,Treatments,604,0.6531,3.957,62.1,12.42,0.7224
Glow Recipe,Sunscreen,1295,0.631,3.758,65.4,12.66,0.7194
Supergoop!,Moisturizers,1443,0.6176,3.716,66.5,12.61,0.7187
Youth To The People,Eye Care,923,0.5847,3.841,65.9,12.03,0.7184
IT Cosmetics,Eye Care,1025,0.5707,4.004,63.2,12.39,0.7155
Caudalie,Moisturizers,10289,0.6942,4.312,51.4,6.39,0.7091
First Aid Beauty,Eye Care,624,0.5462,3.705,67.3,14.58,0.7089
CLINIQUE,Mini Size,4425,0.6446,4.525,50.0,7.21,0.7083
Tata Harper,Masks,1262,0.6743,4.212,53.2,9.27,0.7064
DERMAFLASH,High Tech Tools,470,0.4977,3.76,67.4,19.79,0.7044
Peter Thomas Roth,Eye Care,2852,0.579,3.927,61.2,12.66,0.7042
Supergoop!,Eye Care,445,0.6082,3.604,64.3,11.91,0.7013
Dr. Brandt Skincare,Treatments,1197,0.6422,4.023,55.9,10.19,0.6999
First Aid Beauty,Treatments,3610,0.6256,4.295,51.9,10.33,0.6979
Slip,Wellness,689,0.5835,3.925,59.1,14.22,0.6962
Origins,Masks,10009,0.6943,4.448,44.9,6.55,0.6915
La Mer,Lip Balms & Treatments,248,0.585,3.847,57.7,11.69,0.6859
tarte,Cleansers,2184,0.7119,4.397,42.8,6.32,0.6829
fresh,Cleansers,14047,0.7045,4.323,43.6,6.34,0.6803
Topicals,Treatments,1838,0.3614,3.661,68.6,23.94,0.6787
CLINIQUE,Moisturizers,12687,0.6324,4.179,47.8,8.08,0.6754
CLINIQUE,Treatments,4574,0.5888,4.105,50.4,10.19,0.6737
Sunday Riley,Value & Gift Sets,1729,0.6767,4.25,44.0,9.66,0.6724
Herbivore,Wellness,571,0.501,3.536,62.5,18.04,0.6713
Estée Lauder,Cleansers,232,0.6531,4.409,41.8,6.9,0.6696
Murad,Mini Size,4517,0.6343,4.361,43.1,9.67,0.6686
Drunk Elephant,Lip Balms & Treatments,1898,0.5614,3.736,55.7,12.54,0.6672
Bobbi Brown,Eye Care,656,0.6436,4.285,42.4,8.54,0.6625
CLINIQUE,Value & Gift Sets,483,0.6479,4.29,41.8,8.49,0.6613
Kate Somerville,Treatments,6975,0.5649,4.278,45.2,13.02,0.6597
First Aid Beauty,Moisturizers,13248,0.6267,4.389,40.3,9.56,0.6576
Origins,Treatments,2188,0.5155,4.058,50.3,14.4,0.6574
Origins,Cleansers,5197,0.7299,4.353,36.0,5.95,0.6563
First Aid Beauty,Cleansers,6392,0.656,4.354,38.3,8.14,0.6528
Kate Somerville,Cleansers,4473,0.6689,4.424,36.4,7.91,0.6515
Algenist,Cleansers,763,0.6896,4.29,37.5,6.82,0.6512
Dr. Brandt Skincare,Moisturizers,387,0.5939,3.938,46.5,12.92,0.6486
Peter Thomas Roth,Mini Size,4704,0.5981,4.408,38.8,11.73,0.6479
Peter Thomas Roth,Cleansers,2219,0.6744,4.384,35.6,7.8,0.6471
tarte,Moisturizers,4305,0.6572,4.332,36.0,7.9,0.6422
Algenist,Sunscreen,508,0.5879,4.413,37.2,11.61,0.64
SK-II,Masks,497,0.6977,4.314,33.6,7.04,0.6386
SEPHORA COLLECTION,Lip Balms & Treatments,1406,0.4714,3.324,58.3,19.27,0.6361
Dr. Brandt Skincare,Eye Care,254,0.586,4.012,41.3,12.6,0.6311
REN Clean Skincare,Masks,1787,0.6386,4.435,32.0,9.35,0.6295
Tatcha,Sunscreen,485,0.4318,3.396,56.3,24.12,0.6255
Peter Thomas Roth,Masks,3216,0.6459,4.405,31.1,9.08,0.6253
Koh Gen Do,Cleansers,284,0.6805,4.479,27.5,5.99,0.6214
REN Clean Skincare,Sunscreen,414,0.4961,3.35,52.7,17.87,0.6193
Jack Black,Lip Balms & Treatments,3613,0.6981,4.683,22.0,4.87,0.6155
CLINIQUE,Cleansers,16160,0.614,4.405,29.1,8.61,0.6118
Drunk Elephant,Sunscreen,2205,0.4791,3.306,51.7,18.96,0.6097
tarte,Eye Care,1198,0.6062,4.053,34.0,9.68,0.6078
Kate Somerville,Eye Care,437,0.5178,3.744,42.3,15.56,0.6064
GLO Science,Value & Gift Sets,779,0.5354,3.999,35.9,17.33,0.5999
CLINIQUE,Masks,750,0.6136,4.469,25.1,8.4,0.5995
CLINIQUE,Eye Care,8129,0.5859,3.994,33.6,9.5,0.5989
CLINIQUE,Sunscreen,1253,0.5539,4.051,33.8,12.61,0.5977
Clarins,Cleansers,589,0.716,4.458,19.0,6.11,0.5925
Murad,Cleansers,6385,0.6012,4.327,22.9,10.23,0.5795
Josie Maran,Moisturizers,12650,0.6512,4.397,19.0,7.87,0.5773
Rosebud Perfume Co.,Lip Balms & Treatments,12529,0.6692,4.537,13.8,6.01,0.5685
Evian,Moisturizers,2024,0.6326,4.536,15.2,5.48,0.5674
CLINIQUE,Lip Balms & Treatments,439,0.5202,4.189,11.8,12.07,0.5127
Murad,Wellness,512,0.4159,4.072,7.6,22.27,0.4703
